"id";"title";"stars";"conments_Num"
78;"实战Linux Shell编程与服务器管理";"8.5";"(26人评价)"
79;"Shell";"(目前无人评价)";"(55人评价)"
80;"Shell";"(目前无人评价)";"(38人评价)"
81;"Unix Shell编程";"7.6";"(23人评价)"
82;"Classic Shell Scripting : Hidden Commands that Unlock the Power of Unix";"7.8";"(269人评价)"
83;"Pro Bash Programming, Second Edition : Scripting the GNU/Linux Shell";"(评价人数不足)";"(67人评价)"
84;"Linux Shell编程从初学到精通";"7.7";"(13人评价)"
85;"sed与awk";"8.0";"(29人评价)"
86;"Linux系统命令及Shell脚本实践指南";"7.5";"(28人评价)"
87;"From Bash to Z Shell : Conquering the Command Line";"(评价人数不足)";"(24人评价)"
88;"精通UNIX Shell脚本编程";"7.1";"(18人评价)"
89;"Linux Shell Scripting Cookbook";"7.6";"(26人评价)"
90;"UNIX Shells by Example";"7.8";"(20人评价)"
91;"Learning the bash Shell, 2nd Edition";"(评价人数不足)";"(10人评价)"
92;"Linux命令、编辑器与Shell编程(第3版)";"(评价人数不足)";"(11人评价)"
93;"Wicked Cool Shell Scripts : 101 Scripts for Linux, Mac OS X & UNIX Systems";"(评价人数不足)";"(307人评价)"
94;"Linux Command Line and Shell Scripting Bible, Second Edition";"(评价人数不足)";"(16人评价)"
95;"Shell脚本编程诀窍 : 适用于Linux、Bash等";"(评价人数不足)";"(13人评价)"
96;"学习bash : Learning the bash Shell, Second Edition";"7.6";"(130人评价)"
97;"Linux命令行与shell脚本编程大全 第3版";"9.1";"(122人评价)"
98;"Linux命令行与shell脚本编程大全";"8.4";"(251人评价)"
99;"Shell脚本学习指南";"7.3";"(443人评价)"
100;"Linux Shell脚本攻略";"8.1";"(338人评价)"
101;"Linux Shell脚本攻略（第2版）";"8.2";"(86人评价)"
102;"Learning the bash Shell : 3rd Edition";"7.9";"(96人评价)"
103;"Shell脚本专家指南";"7.9";"(41人评价)"
104;"Linux命令、编辑器与shell编程(第2版)";"8.8";"(32人评价)"
105;"Linux Command Line and Shell Scripting Bible : Command Line and Shell Scripting Bible";"7.7";"(23人评价)"
106;"A Practical Guide to Linux Commands, Editors, and Shell Programming : Practical Guide to Linux Commands, Editors, and Shell Programmin";"(评价人数不足)";"(173人评价)"
107;"Linux命令、编辑器与Shell编程";"8.1";"(111人评价)"
108;"LINUX与UNIX Shell编程指南";"7.9";"(80人评价)"
109;"Ghost in the Shell 2 : Innocence, Volume 1 : After the Long Goodbye (Ghost in the Shell";"(评价人数不足)";"(30人评价)"
110;"Mastering Unix Shell Scripting : Bash, Bourne, and Korn Shell Scripting for Programmers, System A";"(评价人数不足)";"(10人评价)"
111;"GHOST IN THE SHELL / 攻殻機動隊 原画集 -Archives-";"9.5";"(54人评价)"
112;"Shell Programming in Unix, Linux and OS X : The Fourth Edition of Unix Shell Programming";"8.2";"(53人评价)"
113;"实战Linux Shell编程与服务器管理";"8.5";"(26人评价)"
114;"Shell";"(目前无人评价)";"(55人评价)"
115;"Shell";"(目前无人评价)";"(38人评价)"
116;"Unix Shell编程";"7.6";"(23人评价)"
117;"Classic Shell Scripting : Hidden Commands that Unlock the Power of Unix";"7.8";"(269人评价)"
118;"Pro Bash Programming, Second Edition : Scripting the GNU/Linux Shell";"(评价人数不足)";"(67人评价)"
119;"Linux Shell编程从初学到精通";"7.7";"(13人评价)"
120;"sed与awk";"8.0";"(29人评价)"
121;"Linux系统命令及Shell脚本实践指南";"7.5";"(28人评价)"
122;"From Bash to Z Shell : Conquering the Command Line";"(评价人数不足)";"(24人评价)"
123;"精通UNIX Shell脚本编程";"7.1";"(18人评价)"
124;"Linux Shell Scripting Cookbook";"7.6";"(26人评价)"
125;"UNIX Shells by Example";"7.8";"(20人评价)"
126;"Learning the bash Shell, 2nd Edition";"(评价人数不足)";"(10人评价)"
127;"Linux命令、编辑器与Shell编程(第3版)";"(评价人数不足)";"(11人评价)"
128;"Wicked Cool Shell Scripts : 101 Scripts for Linux, Mac OS X & UNIX Systems";"(评价人数不足)";"(307人评价)"
129;"Linux Command Line and Shell Scripting Bible, Second Edition";"(评价人数不足)";"(16人评价)"
130;"Shell脚本编程诀窍 : 适用于Linux、Bash等";"(评价人数不足)";"(13人评价)"
131;"Windows PowerShell Cookbook : The Complete Guide to Scripting Microsoft's New Command Shell";"(评价人数不足)";"(13人评价)"
